run,pass,cooldown_ms,variant,e2e_ns,rcm_ns
4,6,100,ref+ref,34371.6,18769.8
4,6,100,ref+owned,33948.9,18571.5
4,6,100,MaybeUninit,34254.4,18531.2
4,6,100,inline-always,34479.8,18821.8
4,6,100,asm-opt,32410.7,17508.0
4,7,100,ref+ref,32452.4,17724.6
4,7,100,ref+owned,33574.9,18362.9
4,7,100,MaybeUninit,33984.8,18391.7
4,7,100,inline-always,34512.4,18853.8
4,7,100,asm-opt,33656.0,18179.6
4,8,100,ref+ref,34326.2,18745.2
4,8,100,ref+owned,35762.2,19567.9
4,8,100,MaybeUninit,34050.6,18429.3
4,8,100,inline-always,34625.6,18906.5
4,8,100,asm-opt,32670.6,17660.6
4,9,100,ref+ref,32361.9,17693.5
4,9,100,ref+owned,33268.7,18201.3
4,9,100,MaybeUninit,34168.0,18472.7
4,9,100,inline-always,34183.6,18671.1
4,9,100,asm-opt,34236.9,18484.3
4,10,100,ref+ref,34179.6,18667.5
4,10,100,ref+owned,34538.0,18888.9
4,10,100,MaybeUninit,33875.1,18331.9
4,10,100,inline-always,34323.7,18738.4
4,10,100,asm-opt,32303.5,17468.2
4,1,600,ref+ref,36387.8,19872.4
4,1,600,ref+owned,37716.6,20620.8
4,1,600,MaybeUninit,36012.3,19478.5
4,1,600,inline-always,35586.4,19437.3
4,1,600,asm-opt,36307.3,19587.8
4,2,600,ref+ref,35316.4,19292.0
4,2,600,ref+owned,35696.3,19523.7
4,2,600,MaybeUninit,34236.0,18525.6
4,2,600,inline-always,37600.5,20520.3
4,2,600,asm-opt,36098.3,19476.9
4,3,600,ref+ref,36218.9,19783.4
4,3,600,ref+owned,34294.9,18765.0
4,3,600,MaybeUninit,35151.6,19012.7
4,3,600,inline-always,35208.4,19235.1
4,3,600,asm-opt,35406.8,19095.6
4,4,600,ref+ref,36561.8,19964.6
4,4,600,ref+owned,37906.7,20714.7
4,4,600,MaybeUninit,37714.0,20385.9
4,4,600,inline-always,35475.9,19377.6
4,4,600,asm-opt,34129.9,18437.9
4,5,600,ref+ref,35543.0,19419.6
4,5,600,ref+owned,37499.1,20502.1
4,5,600,MaybeUninit,35975.4,19450.9
4,5,600,inline-always,35578.3,19440.0
4,5,600,asm-opt,34327.7,18531.9
4,6,600,ref+ref,35140.6,19199.0
4,6,600,ref+owned,36508.3,19965.4
4,6,600,MaybeUninit,34545.9,18684.9
4,6,600,inline-always,37382.3,20412.8
